usual_brand,carmine
1839 Full Flavor 100s,NA
1st Class Green Menthol 100s,NA
1st Class Menthol Regular,NA
1st Class Red 100s,NA
Ace Menthol 94 100s,NA
All Natural Native Regular,NA
American Blend Menthol 100s,NA
American Blend Menthol Regular,NA
American Spirit,NA
American Spirit Black Regular,NA
American Spirit Blue Regular,Natural American Spirit Blue King
American Spirit Celadon Regular,NA
American Spirit Dark Green Menthol Regular,Natural American Spirit Menthol Green King
American Spirit Gold Regular,Natural American Spirit Organic Mellow Gold King
American Spirit Green Menthol Regular,Natural American Spirit Menthol Green King
American Spirit Turquoise Regular,Natural American Spirit Organic Turquoise King
American Spirit Yellow Regular,Natural American Spirit Yellow Mellow King
American Spirit Yellow White Regular,Natural American Spirit Yellow Mellow King
American Spirits,NA
Bronco Menthol Regular,NA
Camel 99s,Camel 99 Blue
Camel Blue 99s,Camel 99 Blue
Camel Blue Regular,Camel 99 Blue
Camel Crush Black Regular,NA
Camel Crush Blue Regular,Camel Crush King
Camel Crush Menthol Regular,Camel Crush Menthol King
Camel Crush Regular,Camel Crush King
Camel Crush Silver Menthol Regular,Camel Crush Menthol Silver King
Camel Filter 99s,Camel 99 Blue
Camel Filter Regular,Camel 99 Blue
Camel Gold Regular,Camel Turkish Blend Gold King
Camel Menthol Regular,NA
Camel Nonfilter Regular,NA
Camel Royal Turkish Regular,Camel Turkish Blend Royal Filter King
Camel White Menthol Regular,NA
Camel Wide Regular,Camel Wides Red King
Capri Menthol,
Capri Menthol Indigo 120s,
Eagle 20s 100s,Eagle 20'S Red 100
Eagle 20s Blue Regular,NA
Fortuna Menthol 100s,NA
Fortuna Menthol Regular,NA
Fortuna Red 100s,NA
Fortuna Red Regular,NA
Gold Crest Menthol 100s,NA
Hand rolled,NA
KOOL Menthol Regular,Kool Menthol King
L&M Blue Regular,L&M Blue King
L&M Menthol 100s,L&M 100 Menthol
L&M Red 100s,L&M 100
L&M Red Regular,L&M Full Flavor King
Lucky Strike Non-Filter Regular,NA
Marlboro 27s Regular,Marlboro Blend 27 King
Marlboro 83s,Marlboro 83
Marlboro Black 100s,NA
Marlboro Black Menthol 100s,Marlboro Black Menthol 100
Marlboro Black Menthol Regular,Marlboro Black Menthol King
Marlboro Black Regular,NA
Marlboro Blue Menthol 100s,NA
Marlboro Blue Menthol 72s,NA
Marlboro Gold 100s,Marlboro Gold 100
Marlboro Gold 27s Regular,Marlboro Blend 27 King
Marlboro Gold Menthol 100s,Marlboro Menthol Gold 100
Marlboro Gold Menthol Regular,Marlboro Menthol Gold King
Marlboro Gold Regular,Marlboro Gold King
Marlboro Gold Special Select 100s,Marlboro Special Blend Gold 100
Marlboro Gold Special Select Regular,Marlboro Special Blend Gold King
Marlboro Ice Menthol Regular,NA
Marlboro Menthol 100s,Marlboro Menthol 100
Marlboro Menthol Regular,Marlboro Green (Menthol) King
Marlboro Midnight Regular,Marlboro Midnight Menthol King
Marlboro NXT Regular,Marlboro Nxt King
Marlboro Red 100s,Marlboro Red 100
Marlboro Red 72s,Marlboro 72 Red
Marlboro Red Label 100s,Marlboro Red Label 100
Marlboro Red Label Regular,Marlboro Red Label King
Marlboro Red Regular,Marlboro Red King
Marlboro Red Special Select 100s,Marlboro Special Blend Red 100
Marlboro Red Special Select Regular,Marlboro Special Blend Red King
Marlboro Regular 100s,Marlboro Red 100
Marlboro Silver 100s,Marlboro Silver 100
Marlboro Silver 72s,Marlboro 72 Silver
Marlboro Silver Menthol Regular,Marlboro Silver Menthol King
Marlboro Silver Regular,Marlboro Silver King
Marlboro Slate 100s,NA
Marlboro Slate Menthol 100s,NA
Marlboro Smooth 100s,Marlboro Smooth Menthol 100
Marlboro Smooth Menthol 100s,Marlboro Smooth Menthol 100
Marlboro Smooth Menthol Regular,Marlboro Smooth Menthol King
Marlboro Smooth Regular,Marlboro Smooth Menthol King
Marlboro Southern Cuts Regular,Marlboro Southern Cut King
Maverick Gold 100s,Maverick Gold 100
Maverick Menthol 100s,Maverick Menthol 100
Maverick Menthol Regular,NA
Maverick Red Regular,NA
Montclair Blue 100s,NA
Newport Gold 100s,NA
Newport Gold Regular,NA
Newport Menthol 100s,Newport Menthol Green 100
Newport Menthol Regular,Newport Menthol Green King
Newport Menthols 100s,Newport Menthol Green 100
Newport Platinum Menthol Regular,NA
Newport Red 100s,Newport Non-Menthol 100
Newport Red Regular,Newport Non-Menthol King
