screen_id,usual_brand,menthol,is_100,strength
J-A131,1839 Full Flavor 100s,nonmenthol,1,regular
K-A004,1839 Full Flavor 100s,nonmenthol,1,regular
J-A233,1st Class Green Menthol 100s,menthol,1,regular
K-A012,1st Class Green Menthol 100s,menthol,1,regular
L-B188,1st Class Green Menthol 100s,menthol,1,regular
L-A348,1st Class Menthol Regular,menthol,0,regular
L-B024,1st Class Red 100s,nonmenthol,1,regular
K-A205,1st Class Red 100s ,nonmenthol,1,regular
K-C022,Ace Menthol 94 100s,menthol,1,light
J-A005,All Natural Native Regular,nonmenthol,0,regular
J-A115,All Natural Native Regular,nonmenthol,0,regular
J-A286,American Blend Menthol 100s,menthol,1,regular
L-A488,American Blend Menthol Regular,menthol,0,regular
L-A203,American Spirit,nonmenthol,,
J-A028,American Spirit Black Regular,nonmenthol,0,bold
J-A240,American Spirit Black Regular,nonmenthol,0,bold
K-A265,American Spirit Black Regular,nonmenthol,0,bold
L-A437,American Spirit Black Regular,nonmenthol,0,bold
J-A089,American Spirit Blue Regular,nonmenthol,0,regular
J-A291,American Spirit Blue Regular,nonmenthol,0,regular
L-A039,American Spirit Blue Regular,nonmenthol,0,regular
L-A147,American Spirit Blue Regular,nonmenthol,0,regular
L-A158,American Spirit Blue Regular,nonmenthol,0,regular
L-A274,American Spirit Blue Regular,nonmenthol,0,regular
L-A288,American Spirit Blue Regular,nonmenthol,0,regular
L-A309,American Spirit Blue Regular,nonmenthol,0,regular
L-A449,American Spirit Blue Regular,nonmenthol,0,regular
L-B102,American Spirit Blue Regular,nonmenthol,0,regular
J-C037,American Spirit Blue Regular,nonmenthol,0,regular
L-A492,American Spirit Celadon Regular,nonmenthol,0,regular
K-A154,American Spirit Dark Green Menthol Regular,menthol,0,regular
L-A383,American Spirit Dark Green Menthol Regular,menthol,0,regular
L-A462,American Spirit Dark Green Menthol Regular,menthol,0,regular
J-C158,American Spirit Dark Green Menthol Regular,menthol,0,regular
J-A247,American Spirit Gold Regular,nonmenthol,0,light
L-A529,American Spirit Gold Regular,nonmenthol,0,light
J-A287,American Spirit Green Menthol Regular,menthol,0,regular
