"","strength","usual_brand","n"
"1","bold","American Spirit Black Regular",4
"2","bold","Marlboro Black 100s",21
"3","bold","Marlboro Black Menthol 100s",4
"4","bold","Marlboro Black Menthol Regular",3
"5","bold","Marlboro Black Regular",14
"6","bold","Marlboro Midnight Regular",1
"7","bold","Marlboro Slate 100s",1
"8","bold","Marlboro Slate Menthol 100s",1
"9","light","Ace Menthol 94 100s",1
"10","light","American Spirit Gold Regular",2
"11","light","American Spirit Green Menthol Regular",1
"12","light","American Spirit Yellow Regular",5
"13","light","Camel Blue 99s",1
"14","light","Camel Blue Regular",17
"15","light","Camel Crush Black Regular",1
"16","light","Camel Crush Blue Regular",1
"17","light","Camel Crush Silver Menthol Regular",2
"18","light","Camel Gold Regular",1
"19","light","Camel White Menthol Regular",1
"20","light","Capri Menthol Indigo 120s",1
"21","light","Eagle 20s Blue Regular",1
"22","light","L&M Blue Regular",1
"23","light","Marlboro Blue Menthol 100s",2
"24","light","Marlboro Blue Menthol 72s",1
"25","light","Marlboro Gold 100s",8
"26","light","Marlboro Gold 27s Regular",1
"27","light","Marlboro Gold Menthol 100s",6
"28","light","Marlboro Gold Menthol Regular",2
"29","light","Marlboro Gold Regular",13
"30","light","Marlboro Gold Special Select 100s",2
"31","light","Marlboro Gold Special Select Regular",3
"32","light","Maverick Gold 100s",1
"33","light","Newport Gold 100s",1
"34","light","Newport Gold Regular",1
"35","light","Newport Platinum Menthol Regular",1
"36","light","Pall Mall Blue Nanoking",1
"37","light","Parliament White Regular",2
"38","light","Pyramid Blue 100s",1
"39","light","Reservation Crown Light 100s",1
"40","light","Reservation Rollies Light 100s",1
"41","light","Reservation Rollies Light Menthol Regular",1
"42","light","Reservation Rollies Light Regular",2
"43","light","Reservation Wyatt Light 100s",1
"44","light","Reservation Wyatt Light Menthol Regular",1
"45","light","Reservation Wyatt Light Regular",1
"46","light","Shield Silver Menthol 100s",1
"47","light","Sonoma Menthol Light Regular",1
"48","light","USA Gold Menthol 100s ",1
"49","regular","1839 Full Flavor 100s",2
"50","regular","1st Class Green Menthol 100s",3
"51","regular","1st Class Menthol Regular",1
"52","regular","1st Class Red 100s",1
"53","regular","1st Class Red 100s ",1
"54","regular","All Natural Native Regular",2
"55","regular","American Blend Menthol 100s",1
"56","regular","American Blend Menthol Regular",1
"57","regular","American Spirit Blue Regular",11
"58","regular","American Spirit Celadon Regular",1
"59","regular","American Spirit Dark Green Menthol Regular",4
"60","regular","American Spirit Green Menthol Regular",1
"61","regular","American Spirit Turquoise Regular",7
"62","regular","Bronco Menthol Regular",1
"63","regular","Camel 99s",3
"64","regular","Camel Crush Menthol Regular",14
"65","regular","Camel Crush Regular",6
"66","regular","Camel Crush Silver Menthol Regular",2
"67","regular","Camel Filter 99s",2
"68","regular","Camel Filter Regular",17
"69","regular","Camel Menthol Regular",1
"70","regular","Camel Nonfilter Regular",2
"71","regular","Camel Royal Turkish Regular",7
"72","regular","Camel Wide Regular",7
"73","regular","Camel Wide Regular ",1
"74","regular","Eagle 20s 100s",1
"75","regular","Fortuna Menthol 100s",2
"76","regular","Fortuna Menthol Regular ",2
"77","regular","Fortuna Red 100s",1
"78","regular","Fortuna Red Regular",1
"79","regular","Gold Crest Menthol 100s",1
"80","regular","KOOL Menthol Regular",1
"81","regular","L&M Menthol 100s",4
"82","regular","L&M Red 100s",2
"83","regular","L&M Red Regular",4
"84","regular","Lucky Strike Non-Filter Regular ",2
"85","regular","Marlboro 27s Regular",10
"86","regular","Marlboro 83s",3
"87","regular","Marlboro Gold Regular",1
"88","regular","Marlboro Ice Menthol Regular",1
"89","regular","Marlboro Menthol 100s",13
"90","regular","Marlboro Menthol Regular",14
"91","regular","Marlboro NXT Regular",2
"92","regular","Marlboro Red 100s",39
"93","regular","Marlboro Red 72s",4
"94","regular","Marlboro Red Label 100s",2
"95","regular","Marlboro Red Label Regular",2
"96","regular","Marlboro Red Regular",78
"97","regular","Marlboro Red Special Select 100s",8
"98","regular","Marlboro Red Special Select Regular",5
"99","regular","Marlboro Regular 100s",1
"100","regular","Marlboro Smooth 100s",1
"101","regular","Marlboro Smooth Menthol 100s",3
"102","regular","Marlboro Smooth Menthol Regular",3
"103","regular","Marlboro Smooth Regular",2
"104","regular","Marlboro Southern Cuts Regular",3
"105","regular","Maverick Menthol 100s",26
"106","regular","Maverick Menthol Regular",2
"107","regular","Maverick Red Regular",2
"108","regular","Montclair Blue 100s",1
"109","regular","Newport Menthol 100s",154
"110","regular","Newport Menthol Regular",28
"111","regular","Newport Menthols 100s",2
"112","regular","Newport Red 100s",19
"113","regular","Newport Red Regular",8
"114","regular","Newport Smooth Select Menthol 100s",1
"115","regular","Pall Mall Menthol 100s",8
"116","regular","Pall Mall Menthol Nanoking",1
"117","regular","Pall Mall Menthol Regular",1
"118","regular","Pall Mall Red 100s",11
"119","regular","Pall Mall Red Nanokings",1
"120","regular","Pall Mall Red Regular",4
"121","regular","Parliament 100s",1
"122","regular","Pyramid Red 100s",1
"123","regular","Reservation American Blend Regular",1
"124","regular","Reservation Crown Full Flavor King",2
"125","regular","Reservation Crown Menthol King",1
"126","regular","Reservation Rollies 100s",2
"127","regular","Reservation Rollies Menthol 100s",1
"128","regular","Reservation Rollies Menthol Regular",1
"129","regular","Reservation Rollies Regular",12
"130","regular","Reservation Wyatt Menthol 100s",1
"131","regular","Reservation Wyatt Regular",2
"132","regular","Seneca Medium 100s",1
"133","regular","Signal Full Flavor Regular",1
"134","regular","Signal Menthol Max Regular",1
"135","regular","Sonoma Menthol Regular",1
"136","regular","USA Gold 100s",1
"137","regular","USA Gold Red 100s",1
"138","regular","Winston 100s",1
"139","ultra light","American Spirit Yellow White Regular",1
"140","ultra light","Marlboro Silver 100s",3
"141","ultra light","Marlboro Silver 72s",1
"142","ultra light","Marlboro Silver Menthol Regular",1
"143","ultra light","Marlboro Silver Regular",3
"144",NA,"American Spirit",1
"145",NA,"American Spirits",2
"146",NA,"Capri Menthol",1
"147",NA,"Hand rolled",1
"148",NA,"Piel Roja rolling tobacco",1
"149",NA,"roll your own OHM",1
"150",NA,NA,1
